latitude_deg,longitude_deg,iata_code
33.942501,-118.407997,LAX
41.9786,-87.9048,ORD
40.639447,-73.779317,JFK
33.6367,-84.428101,ATL
37.619806,-122.374821,SFO
32.896801,-97.038002,DFW
40.692501,-74.168701,EWR
36.083361,-115.151817,LAS
28.429399490356445,-81.30899810791016,MCO
39.860027,-104.673792,DEN
38.9445,-77.455803,IAD
25.7932,-80.290604,MIA
40.777199,-73.872597,LGA
42.36197,-71.0079,BOS
47.447943,-122.310276,SEA
33.435302,-112.005905,PHX
39.871899,-75.241096,PHL
35.2140007019043,-80.94309997558594,CLT
29.9844,-95.3414,IAH
38.8521,-77.037697,DCA
42.21377,-83.353786,DTW
44.880081,-93.221741,MSP
40.78886,-111.979866,SLC
26.072599,-80.152702,FLL
41.785999,-87.752403,MDW
39.1754,-76.668297,BWI
32.7336006165,-117.190002441,SAN
38.748697,-90.370003,STL
21.318387,-157.92567,HNL
45.588699,-122.598,PDX
29.993401,-90.258003,MSY
36.1245,-86.6782,BNA
27.9755,-82.533203,TPA
39.048801,-84.667801,CVG
30.197535,-97.662015,AUS
35.878659,-78.7873,RDU
40.491501,-80.232903,PIT
37.362452,-121.929188,SJC
29.533701,-98.469803,SAT
33.675063,-117.869281,SNA
37.720085,-122.221184,OAK
39.2976,-94.713898,MCI
35.043845,-89.97634,MEM
41.411701,-81.8498,CLE
29.645336,-95.276812,HOU
32.844776,-96.847653,DAL
39.7173,-86.294403,IND
39.998001,-82.891899,CMH
35.039976,-106.608925,ABQ
42.947201,-87.896599,MKE
30.492469,-81.687813,JAX
32.115004,-110.938053,TUS
42.940498,-78.732201,BUF
41.938555,-72.688016,BDL
61.179004,-149.992561,ANC
35.393388,-97.598248,OKC
38.6954,-121.591003,SMF
20.896263,-156.431837,OGG
34.202834,-118.35805,BUR
32.896159,-80.038151,CHS
41.3032,-95.894096,OMA
26.683201,-80.095596,PBI
41.725038,-71.425668,PVD
38.1706,-85.735076,SDF
39.4991,-119.767998,RNO
36.895341,-76.201,ORF
31.809908,-106.375607,ELP
37.505199,-77.319702,RIC
32.126591,-81.19998,SAV
33.816523,-118.149891,LGB
26.534685,-81.752816,RSW
33.562877,-86.750712,BHM
19.738783,-156.045603,KOA
42.748299,-73.801697,ALB
34.056,-117.600998,ONT
43.5644,-116.223,BOI
41.06700134277344,-73.70760345458984,HPN
43.11119842529297,-76.1063003540039,SYR
42.880798,-85.522797,GRR
41.534027,-93.656719,DSM
43.1189,-77.672401,ROC
36.197084,-95.886225,TUL
43.646198,-70.309303,PWM
37.650314,-97.428583,ICT
39.902401,-84.219398,DAY
47.6199,-117.533997,GEG
43.1399,-89.337502,MSN
38.805801,-104.700996,COS
34.729222,-92.223591,LIT
44.471901,-73.153297,BTV
42.932598,-71.435699,MHT
35.811001,-83.994003,TYS
33.8297,-116.507004,PSP
21.974393,-159.337146,LIH
24.556101,-81.759598,EYW
36.09937,-79.937262,GSO
34.895699,-82.218903,GSP
34.426201,-119.839996,SBA
38.035066,-84.606738,LEX
30.472718,-87.186639,PNS
27.394631,-82.554359,SRQ
30.400369,-84.35433,TLH
44.0452995300293,-103.05699920654295,RAP
35.435488,-82.541853,AVL
36.586777,-121.844183,MRY
27.9102,-82.687401,PIE
29.18255,-81.059464,DAB
40.192838,-76.762333,MDT
44.806364,-68.826668,BGR
33.938172,-81.117499,CAE
28.774277,-81.234626,SFB
40.91609954833984,-81.44219970703125,CAK
43.6072998046875,-110.73799896240234,JAC
33.663601,-101.822998,LBB
36.775767,-119.718018,FAT
34.636244,-86.774378,HSV
38.13859939575195,-78.4529037475586,CHO
35.035301,-85.203796,CHA
33.679699,-78.928299,MYR
19.72135,-155.045428,ITO
44.483459,-88.130805,GRB
35.6171,-106.088997,SAF
40.978896,-85.194465,FWA
37.245047,-93.388596,SGF
64.815102,-147.856003,FAI
44.124599,-123.211998,EUG
41.708304,-86.316922,SBN
41.884701,-91.7108,CID
35.217857,-101.706444,AMA
29.6900997162,-82.2717971802,GNV
46.9207,-96.815804,FAR
35.2368011475,-120.641998291,SBP
45.807824,-108.533667,BIL
45.778853,-111.153711,BZN
41.501731,-74.100435,SWF
43.585463,-96.741152,FSD
48.79280090332031,-122.53800201416016,BLI
37.3255,-79.975403,ROA
34.271719,-77.904644,ILM
36.281898,-94.306801,XNA
40.844882,-96.76178,LNK
40.796324,-73.101703,ISP
33.1283,-117.279999,CLD
28.102009,-80.641088,MLB
38.50899887,-122.8130035,STS
40.651773,-75.442797,ABE
31.942499,-102.202003,MAF
30.6912,-88.242798,MOB
47.9063,-122.281998,PAE
39.223202,-106.869003,ASE
46.842098,-92.193604,DLH
30.533199,-91.149597,BTR
32.311199,-90.075897,JAN
42.777582,-84.585721,LAN
43.908298,-92.5,RST
41.337064,-75.724232,AVP
27.770399,-97.501198,CRP
46.915816,-114.091107,MSO
41.25310135,-70.06020355,ACK
32.2244,-80.697502,HHH
42.374199,-122.873001,MFR
41.3931007385,-70.6143035889,MVY
44.741402,-85.582199,TVC
38.3731,-81.593201,CRW
41.5868,-83.8078,TOL
46.77270126342773,-100.74600219726562,BIS
39.126663,-108.529387,GJT
34.653502,-112.419883,PRC
35.139757,-111.669826,FLG
43.0779,-70.823303,PSM
33.3078,-111.654999,AZA
40.663841,-89.692631,PIA
32.650938,-114.609375,YUM
42.969294,-83.743355,FNT
30.405582,-89.069836,GPT
33.3699,-81.9645,AGS
47.481998,-111.371002,GTF
58.354935,-134.574416,JNU
30.481315,-86.515839,VPS
42.232105,-85.549637,AZO
35.433601,-119.056999,BFL
36.475201,-82.407401,TRI
30.5886,-96.3638,CLL
39.64260101,-106.9179993,EGE
32.300598,-86.393997,MGM
39.456201,-74.577511,ACY
40.4771,-88.915901,BMI
42.907381,-106.461609,CPR
38.0369987488,-87.5324020386,EVV
40.276699,-74.813499,TTN
37.036389,-113.510306,SGU
48.310501,-114.255997,FCA
40.039819,-88.276249,CMI
42.49100112915039,-76.4583969116211,ITH
44.258515,-88.519,ATW
32.446602,-93.8256,SHV
41.448502,-90.5075,MLI
26.9202,-81.990501,PGD
26.176141,-98.237965,MFE
41.6693,-70.280403,HYA
43.879002,-91.256699,LSE
35.336601,-94.367401,FSM
43.514599,-112.070999,IDA
42.1599006652832,-76.8916015625,ELM
34.898899,-120.457001,SMX
31.611299514770508,-97.23049926757812,ACT
40.849374,-77.84852,SCE
42.1954,-89.097198,RFD
41.155701,-104.811997,CYS
30.357106,-85.795414,ECP
31.35770034790039,-100.49600219726562,SJT
32.4113006592,-99.6819000244,ABI
34.991199,-78.880302,FAY
43.1073,-78.946198,IAG
40.50899887,-122.2929993,RDD
38.79100036621094,-97.6521987915039,SLN
37.893279,-121.238079,SCK
47.949299,-97.176102,GFK
39.844101,-89.677902,SPI
37.70100021362305,-113.0989990234375,CDC
38.8181,-92.219597,COU
25.907238,-97.425235,BRO
30.205299,-91.987602,LFT
42.2673,-71.875702,ORH
37.151501,-107.753998,DRO
40.218894,-111.722445,PVU
44.254101,-121.150002,RDM
46.264702,-119.119003,PSC
33.301601,-104.530998,ROW
32.35409927368164,-95.40239715576172,TYR
26.228500366210938,-97.65440368652344,HRL
48.25801,-101.279123,MOT
40.275902,-79.4048,LBE
32.38399887084961,-94.71150207519533,GGG
32.510899,-92.037697,MLU
39.813801,-82.927803,LCK
46.6068,-111.983002,HLN
43.533181,-84.083104,MBS
27.5438,-99.461601,LRD
42.20869827,-75.97979736,BGM
32.516415,-84.939602,CSG
39.14099884033203,-96.6707992553711,MHK
41.12620163,-100.6839981,LBF
38.5098,-107.893997,MTJ
37.9275016785,-100.723999023,GCK
31.325828,-92.546702,AEX
40.978101,-124.109,ACV
44.86579895019531,-91.48429870605467,EAU
40.82490158081055,-115.79199981689452,EKO
42.397605,-96.382237,SUX
35.387798,-80.709099,USA
33.9888,-98.491898,SPS
46.402861,-94.129727,BRD
30.290501,-87.671799,GUF
46.351498,-87.395884,MQT
